name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),rating_votes_score,cuisine_category,rest_type_category,first_cuisine_category
Jalsa,Yes,Yes,4.1,775.0,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800.0,Buffet,Banashankari,3177.4999999999995,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Spice Elephant,Yes,No,4.1,787.0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800.0,Buffet,Banashankari,3226.7,North Indian & Mughlai Cuisine,Casual Dining & Bar,Chinese & Pan-Asian Delights
San Churro Cafe,Yes,No,3.8,918.0,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800.0,Buffet,Banashankari,3488.3999999999996,Continental & Cafe Culture,Casual Dining & Bar,Continental & Cafe Culture
Addhuri Udupi Bhojana,No,No,3.7,88.0,Banashankari,Quick Bites,"South Indian, North Indian",300.0,Buffet,Banashankari,325.6,North Indian & Mughlai Cuisine,Quick Bites & Takeaway,South Indian Traditional
Grand Village,No,No,3.8,166.0,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600.0,Buffet,Banashankari,630.8,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Timepass Dinner,Yes,No,3.8,286.0,Basavanagudi,Casual Dining,North Indian,600.0,Buffet,Banashankari,1086.8,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8.0,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800.0,Buffet,Banashankari,28.8,North Indian & Mughlai Cuisine,Casual Dining & Bar,North Indian & Mughlai Cuisine
Onesta,Yes,Yes,4.6,2556.0,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600.0,Cafes,Banashankari,11757.599999999999,Street Food & Snacks,Casual Dining & Bar,Street Food & Snacks
Penthouse Cafe,Yes,No,4.0,324.0,Banashankari,Cafe,"Cafe, Italian, Continental",700.0,,,1296.0,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
Smacznego,Yes,No,4.2,504.0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,Banashankari,2116.8,Street Food & Snacks,Cafe & Bakery,Continental & Cafe Culture
Cafe Down The Alley,Yes,No,4.1,402.0,Banashankari,Cafe,Cafe,500.0,Cafes,Banashankari,1648.1999999999998,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
Cafe Shuffle,Yes,Yes,4.2,150.0,Banashankari,Cafe,"Cafe, Italian, Continental",600.0,Cafes,Banashankari,630.0,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
The Coffee Shack,Yes,Yes,4.2,164.0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500.0,Cafes,Banashankari,688.8000000000001,Chinese & Pan-Asian Delights,Cafe & Bakery,Continental & Cafe Culture
Caf-Eleven,No,No,4.0,424.0,Banashankari,Cafe,"Cafe, Continental",450.0,Cafes,Banashankari,1696.0,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
Cafe Vivacity,Yes,No,3.8,90.0,Banashankari,Cafe,Cafe,650.0,Cafes,Banashankari,342.0,Continental & Cafe Culture,Cafe & Bakery,Continental & Cafe Culture
