name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
Jalsa,Yes,Yes,4.1,775,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,[],Buffet,Banashankari
Spice Elephant,Yes,No,4.1,787,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,[],Buffet,Banashankari
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,[],Buffet,Banashankari
Addhuri Udupi Bhojana,No,No,3.7,88,Banashankari,Quick Bites,"South Indian, North Indian",300,[],Buffet,Banashankari
Grand Village,No,No,3.8,166,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,[],Buffet,Banashankari
Timepass Dinner,Yes,No,3.8,286,Basavanagudi,Casual Dining,North Indian,600,[],Buffet,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3.6,8,Mysore Road,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,[],Buffet,Banashankari
Onesta,Yes,Yes,4.6,2556,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,[],Cafes,Banashankari
Smacznego,Yes,No,4.2,504,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,[],Cafes,Banashankari
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Yes,No,4.1,402,Banashankari,Cafe,Cafe,500,[],Cafes,Banashankari
Cafe Shuffle,Yes,Yes,4.2,150,Banashankari,Cafe,"Cafe, Italian, Continental",600,[],Cafes,Banashankari
The Coffee Shack,Yes,Yes,4.2,164,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,[],Cafes,Banashankari
Caf-Eleven,No,No,4.0,424,Banashankari,Cafe,"Cafe, Continental",450,[],Cafes,Banashankari
San Churro Cafe,Yes,No,3.8,918,Banashankari,"Cafe, Casual Dining","Cafe, Mexican, Italian",800,[],Cafes,Banashankari
Cafe Vivacity,Yes,No,3.8,90,Banashankari,Cafe,Cafe,650,[],Cafes,Banashankari
Catch-up-ino,Yes,No,3.9,133,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,[],Cafes,Banashankari
Kirthi's Biryani,Yes,No,3.8,144,Banashankari,Cafe,"Chinese, Cafe, Italian",700,[],Cafes,Banashankari
T3H Cafe,No,No,3.9,93,Banashankari,Cafe,"Cafe, Italian, American",300,[],Cafes,Banashankari
360 Atoms Restaurant And Cafe,Yes,No,3.1,13,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,[],Cafes,Banashankari
The Vintage Cafe,Yes,No,3.0,62,Banashankari,Cafe,"Cafe, French, North Indian",400,[],Cafes,Banashankari
Woodee Pizza,Yes,No,3.7,180,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,[],Cafes,Banashankari
Cafe Coffee Day,No,No,3.6,28,Banashankari,Cafe,"Cafe, Fast Food",900,[],Cafes,Banashankari
My Tea House,Yes,No,3.6,62,Banashankari,"Quick Bites, Cafe","Italian, Fast Food, Cafe, European",600,[],Cafes,Banashankari
Hide Out Cafe,No,No,3.7,31,Banashankari,Cafe,Cafe,300,[],Cafes,Banashankari
CAFE NOVA,No,No,3.2,11,Banashankari,Cafe,"Cafe, Bakery",600,[],Cafes,Banashankari
Coffee Tindi,Yes,No,3.8,75,Banashankari,"Cafe, Quick Bites","Cafe, South Indian",200,[],Cafes,Banashankari
Sea Green Cafe,No,No,3.3,4,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,[],Cafes,Banashankari
Cuppa,No,No,3.3,23,Banashankari,Cafe,"Cafe, Fast Food",550,[],Cafes,Banashankari
Srinathji's Cafe,No,No,3.8,148,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,[],Cafes,Banashankari
Redberrys,Yes,No,4.0,219,Basavanagudi,Cafe,"Cafe, Italian",600,[],Cafes,Banashankari
Sweet Truth,Yes,No,3.9,35,Banashankari,Delivery,"Bakery, Desserts",500,"['Chocolate Fantasy (Pack Of 5)', 'Pan Cake (Pack Of 6)', 'Gulab Jamun (Pack Of 10)', 'Gulkand Shot (Pack Of 5)', 'Chocolate Decadence (Pack of 2)', 'CheeseCake (Pack Of 2)', 'Red Velvet Slice Cake (Pack of 2)', 'Red Velvet Slice Cake & Cheese Cake (Pack of 2)', 'Red Velvet Slice Cake & Chocolate Decadence Cake (Pack of 2)', 'Hazelnut Brownie (Pack of 2)', 'Moments', 'Red Velvet Cake With Butter Cream Frosting (750 Gm)', 'Red Velvet Slice Cake (Pack of 2)', 'Red Velvet Slice Cake & Cheese Cake (Pack of 2)', 'Red Velvet Slice Cake & Chocolate Decadence Cake (Pack of 2)', 'Red Velvet Slice Cake (Pack of 1)', 'Valentine Red Velvet Jar', 'Valentine Chocolate Jar', 'Valentines Jar Combo', 'Pink Guava 500 ML', 'Oreo Vanilla 500 ML', 'Cookie Crumble 500 ML', 'Chocolate Fantasy', 'Gulkand-E-Bahar', 'Pan Cake', 'Hazelnut Brownie (Pack Of 1)', 'Gulab Jamun (Pack Of 2)', 'Plum Cake', 'Red Velvet Cake With Butter Cream Frosting (750 Gm)', 'Chocolate Mud Cake (700 Gms)', 'CheeseCake (Pack of 1)', 'Chocolate Decadence (Pack of 1)', 'Red Velvet Slice Cake (Pack of 1)']",Delivery,Banashankari
Ovenstory Pizza,Yes,No,3.9,172,Banashankari,Delivery,Pizza,750,[],Delivery,Banashankari
Behrouz Biryani,Yes,No,3.9,230,Banashankari,Delivery,Biryani,650,[],Delivery,Banashankari
Fast And Fresh,Yes,No,2.8,91,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,[],Delivery,Banashankari
Szechuan Dragon,Yes,No,4.2,1647,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,[],Delivery,Banashankari
Maruthi Davangere Benne Dosa,Yes,No,4.0,17,Banashankari,Quick Bites,South Indian,150,"['Benne Dosa', 'Benne Masala Dosa', 'Benne Kali Dosa', 'Open Dosa', 'Benne Set Dosa', 'Benne Dosa', 'Benne Masala Dosa', 'Benne Kali Dosa', 'Open Dosa', 'Benne Set Dosa', 'Set Dosa', 'Khara Pongal']",Delivery,Banashankari
Chaatimes,Yes,No,3.8,133,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,[],Delivery,Banashankari
Havyaka Mess,No,No,3.9,28,Banashankari,Mess,South Indian,300,[],Delivery,Banashankari
McDonald's,Yes,No,3.9,286,Banashankari,Quick Bites,"Burger, Fast Food",500,[],Delivery,Banashankari
Domino's Pizza,Yes,No,3.9,540,Banashankari,Quick Bites,"Pizza, Fast Food",800,[],Delivery,Banashankari
Hotboxit,No,No,3.8,36,Banashankari,Delivery,"North Indian, Continental, Italian",400,[],Delivery,Banashankari
Kitchen Garden,Yes,No,3.6,244,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300,"['3 Poori with Subji', 'Chole Bhature [2 Pieces]', '2 Plain Paratha with Subji', '2 Aloo Paratha with Curd', '2 Paneer Paratha with Curd', '2 Onion Paratha with Curd', '2 Gobi Paratha with Curd', '2 Lachha Paratha with Curd', '4 Ghee Roti with Subji', 'Paneer Roll', 'Veg Roll', 'Aloo Roll', 'Paneer Aloo Roll', 'Veg Paneer Roll', 'Mushroom Paneer Roll', 'Bread Omelette [4 Pieces]', '2 Egg Paratha with Curd', 'Boiled Egg', 'Masala Omelette', 'Egg Roll', 'Double Egg Roll', 'Egg Aloo Roll', 'Egg Paneer Roll', 'Chicken Roll', 'Egg Chicken Roll', 'Tawa Roti', 'Ghee Roti', 'Plain Paratha', 'Laccha Paratha', 'Plain Rice', 'Sweet Lassi', 'Salt Lassi']",Delivery,Banashankari
